iter	MAE
0	13.0293626
1	12.26765508
2	11.56387166
3	10.95481807
4	10.3975001
5	9.891397032
6	9.455454829
7	9.060439308
8	8.708504008
9	8.382513681
10	8.104867848
11	7.861559667
12	7.631189807
13	7.42517097
14	7.24744385
15	7.092049103
16	6.952423616
17	6.828903733
18	6.722035496
19	6.626609412
20	6.544876802
21	6.474350728
22	6.410751206
23	6.354493512
24	6.305860974
25	6.262129271
26	6.224190214
27	6.191387019
28	6.161418886
29	6.134469597
30	6.112369895
31	6.092812502
32	6.075800362
33	6.060777418
34	6.047668864
35	6.035961053
36	6.026076917
37	6.017352018
38	6.009351052
39	6.00294109
40	5.997168472
41	5.991914801
42	5.986884377
43	5.982376434
44	5.97818245
45	5.974551591
46	5.971122185
47	5.968563973
48	5.966023432
49	5.964134961
50	5.961460708
51	5.959729512
52	5.957670808
53	5.955777625
54	5.954288525
55	5.9530857
56	5.952020122
57	5.951015215
58	5.949626841
59	5.948449345
60	5.947572261
61	5.946735231
62	5.945793941
63	5.945154241
64	5.944635883
65	5.944113402
66	5.943438949
67	5.943023674
68	5.942348042
69	5.941833808
70	5.94122945
71	5.940609188
72	5.940265776
73	5.939688514
74	5.939319774
75	5.938892718
76	5.938449169
77	5.938099277
78	5.937735249
79	5.937345892
80	5.937127946
81	5.936573657
82	5.935703641
83	5.93550101
84	5.935189996
85	5.934693433
86	5.934443679
87	5.934152692
88	5.93392002
89	5.933703841
90	5.933324498
91	5.932502194
92	5.932121673
93	5.931274629
94	5.930740368
95	5.93054186
96	5.930333928
97	5.93019727
98	5.930067681
99	5.929743119
100	5.929370255
101	5.92916409
102	5.928446047
103	5.928262854
104	5.928091443
105	5.927943004
106	5.927174304
107	5.927081824
108	5.9269057
109	5.9267337
110	5.926506918
111	5.926268356
112	5.926144068
113	5.926039218
114	5.92591552
115	5.925830697
116	5.925673423
117	5.925565628
118	5.925433094
119	5.925320586
120	5.925162723
121	5.925059641
122	5.925001325
123	5.924932996
124	5.924870558
125	5.924805763
126	5.924504762
127	5.924048254
128	5.923966377
129	5.923906884
130	5.923829131
131	5.92378613
132	5.923529308
133	5.923276019
134	5.92323243
135	5.923145841
136	5.923117567
137	5.923059252
138	5.923028033
139	5.922932608
140	5.922879594
141	5.922761785
142	5.922722908
143	5.922516744
144	5.922455483
145	5.922413072
146	5.922383031
147	5.922362414
148	5.92226051
149	5.922156249
150	5.921763358
151	5.921716824
152	5.921666755
153	5.921583111
154	5.921442919
155	5.921216137
156	5.921094795
157	5.921000548
158	5.920898054
159	5.920760807
160	5.920683054
161	5.920611191
162	5.920531081
163	5.920453916
164	5.920435656
165	5.920381464
166	5.920190614
167	5.920042175
168	5.920018614
169	5.919972668
170	5.919950285
171	5.919917887
172	5.919854271
173	5.919753545
174	5.919729983
175	5.919649284
176	5.919632202
177	5.919612174
178	5.919533832
179	5.919524407
180	5.919487886
181	5.919479051
182	5.919459612
183	5.919438996
184	5.91941779
185	5.919378324
186	5.919170392
187	5.919146242
188	5.919094995
189	5.91886409
190	5.918785158
191	5.918750405
192	5.918700336
193	5.918681487
194	5.918639076
195	5.918425842
196	5.91829802
197	5.918132499
198	5.918088321
