iter	Passed	Remaining
0	115	115545
1	230	114795
2	347	115485
3	461	114934
4	577	114878
5	691	114530
6	806	114369
7	920	114150
8	1036	114168
9	1151	113980
10	1266	113881
11	1381	113783
12	1496	113617
13	1611	113472
14	1726	113342
15	1841	113222
16	1959	113283
17	2073	113135
18	2188	112980
19	2303	112847
20	2418	112732
21	2532	112560
22	2646	112422
23	2760	112272
24	2874	112115
25	2988	111964
26	3102	111808
27	3216	111668
28	3332	111568
29	3446	111448
30	3560	111297
31	3675	111175
32	3797	111291
33	3911	111126
34	4024	110965
35	4140	110867
36	4255	110760
37	4370	110630
38	4485	110525
39	4600	110412
40	4715	110285
41	4830	110173
42	4944	110042
43	5059	109918
44	5174	109805
45	5288	109688
46	5403	109564
47	5518	109446
48	5634	109346
49	5750	109251
50	5864	109133
51	5980	109034
52	6097	108955
53	6212	108838
54	6331	108782
55	6446	108669
56	6561	108549
57	6675	108425
58	6792	108330
59	6906	108194
60	7021	108084
61	7137	107986
62	7254	107901
63	7370	107795
64	7506	107981
65	7622	107864
66	7737	107751
67	7854	107652
68	7969	107534
69	8083	107401
70	8198	107271
71	8314	107162
72	8430	107054
73	8545	106936
74	8662	106833
75	8776	106703
76	8891	106577
77	9006	106461
78	9121	106343
79	9236	106215
80	9351	106096
81	9467	105994
82	9581	105860
83	9697	105746
84	9812	105632
85	9927	105508
86	10040	105370
87	10154	105238
88	10271	105143
89	10386	105018
90	10501	104895
91	10615	104765
92	10729	104636
93	10841	104498
94	10956	104377
95	11071	104259
96	11188	104152
97	11303	104033
98	11419	103926
99	11533	103803
100	11648	103679
101	11764	103572
102	11881	103470
103	11995	103348
104	12111	103239
105	12226	103119
106	12342	103008
107	12458	102895
108	12573	102778
109	12689	102670
110	12805	102561
111	12920	102439
112	13036	102328
113	13152	102217
114	13267	102104
115	13383	101988
116	13498	101871
117	13614	101759
118	13728	101639
119	13842	101515
120	13960	101418
121	14076	101304
122	14190	101182
123	14307	101073
124	14423	100966
125	14538	100848
126	14653	100729
127	14770	100621
128	14919	100738
129	15036	100626
130	15152	100515
131	15266	100387
132	15380	100263
133	15495	100145
134	15610	100024
135	15727	99916
136	15843	99803
137	15959	99688
138	16075	99575
139	16191	99460
140	16308	99353
141	16426	99252
142	16542	99140
143	16658	99028
144	16775	98915
145	16892	98812
146	17008	98696
147	17124	98581
148	17242	98477
149	17361	98380
150	17477	98265
151	17594	98156
152	17711	98052
153	17828	97941
154	17945	97832
155	18060	97713
156	18176	97596
157	18292	97485
158	18410	97379
159	18525	97261
160	18642	97147
161	18759	97037
162	18875	96924
163	18990	96807
164	19106	96691
165	19222	96577
166	19339	96466
167	19455	96351
168	19571	96236
169	19687	96121
170	19803	96006
171	19918	95888
172	20035	95777
173	20153	95671
174	20273	95572
175	20390	95464
176	20507	95355
177	20623	95240
178	20739	95123
179	20854	95003
180	20972	94895
181	21090	94789
182	21206	94677
183	21324	94570
184	21439	94449
185	21556	94340
186	21672	94221
187	21788	94109
188	21906	94002
189	22023	93888
190	22139	93773
191	22255	93657
192	22371	93541
193	22489	93434
194	22605	93319
195	22721	93205
196	22839	93098
197	22955	92980
198	23070	92863
199	23187	92748
200	23304	92639
201	23421	92524
202	23538	92414
203	23654	92300
204	23770	92183
205	23885	92063
206	24001	91949
207	24119	91837
208	24235	91724
209	24352	91611
210	24469	91499
211	24585	91385
212	24702	91270
213	24819	91158
214	24935	91042
215	25052	90930
216	25167	90813
217	25284	90699
218	25401	90587
219	25517	90472
220	25633	90355
221	25751	90244
222	25867	90129
223	25984	90019
224	26102	89907
225	26218	89791
226	26334	89676
227	26451	89563
228	26568	89451
229	26685	89338
230	26802	89224
231	26918	89108
232	27034	88994
233	27150	88876
234	27268	88767
235	27384	88652
236	27502	88542
237	27620	88431
238	27738	88323
239	27854	88205
240	27971	88094
241	28087	87977
242	28204	87861
243	28322	87753
244	28441	87645
245	28559	87534
246	28673	87413
247	28790	87301
248	28907	87186
249	29025	87076
250	29143	86967
251	29262	86857
252	29379	86743
253	29494	86627
254	29612	86515
255	29730	86403
256	29921	86505
257	30038	86389
258	30154	86271
259	30271	86155
260	30387	86040
261	30503	85921
262	30619	85805
263	30735	85687
264	30852	85571
265	30968	85455
266	31085	85339
267	31201	85221
268	31318	85107
269	31435	84992
270	31552	84876
271	31668	84759
272	31785	84644
273	31901	84528
274	32018	84412
275	32135	84296
276	32251	84179
277	32368	84064
278	32484	83948
279	32601	83832
280	32718	83716
281	32834	83600
282	32951	83483
283	33067	83367
284	33183	83250
285	33300	83135
286	33417	83020
287	33534	82904
288	33650	82788
289	33767	82671
290	33883	82554
291	34000	82439
292	34117	82323
293	34233	82207
294	34350	82092
295	34467	81975
296	34583	81860
297	34700	81743
298	34816	81627
299	34933	81512
300	35050	81397
301	35167	81280
302	35283	81164
303	35400	81049
304	35517	80933
305	35634	80818
306	35751	80702
307	35867	80586
308	35984	80470
309	36101	80354
310	36218	80239
311	36347	80151
312	36476	80062
313	36604	79969
314	36732	79878
315	36860	79785
316	36987	79692
317	37115	79599
318	37244	79509
319	37373	79418
320	37499	79321
321	37624	79222
322	37744	79111
323	37861	78994
324	37977	78876
325	38094	78758
326	38210	78641
327	38337	78545
328	38461	78443
329	38578	78326
330	38695	78209
331	38812	78093
332	38930	77977
333	39046	77860
334	39166	77749
335	39296	77657
336	39416	77547
337	39545	77452
338	39664	77340
339	39791	77242
340	39908	77125
341	40025	77007
342	40143	76892
343	40260	76775
344	40381	76665
345	40505	76563
346	40632	76464
347	40754	76355
348	40874	76244
349	41009	76160
350	41137	76063
351	41261	75957
352	41378	75840
353	41496	75726
354	41614	75609
355	41732	75493
356	41851	75379
357	41968	75261
358	42084	75143
359	42203	75027
360	42321	74913
361	42438	74794
362	42556	74678
363	42675	74564
364	42792	74447
365	42909	74329
366	43027	74214
367	43146	74099
368	43264	73983
369	43383	73868
370	43501	73753
371	43623	73644
372	43749	73540
373	43872	73433
374	43991	73318
375	44110	73205
376	44239	73106
377	44362	72999
378	44484	72889
379	44606	72779
380	44729	72671
381	44853	72564
382	44971	72447
383	45088	72330
384	45205	72211
385	45325	72097
386	45442	71979
387	45558	71860
388	45675	71741
389	45791	71623
390	45908	71504
391	46025	71386
392	46142	71267
393	46259	71149
394	46376	71031
395	46492	70912
396	46609	70794
397	46726	70676
398	46843	70558
399	46959	70439
400	47076	70320
401	47192	70202
402	47310	70084
403	47426	69966
404	47543	69848
405	47660	69729
406	47778	69612
407	47894	69494
408	48011	69375
409	48135	69268
410	48261	69163
411	48380	69048
412	48497	68930
413	48614	68812
414	48731	68694
415	48848	68575
416	48974	68470
417	49102	68368
418	49233	68268
419	49363	68169
420	49494	68069
421	49614	67955
422	49731	67836
423	49848	67718
424	49964	67599
425	50081	67481
426	50208	67376
427	50337	67273
428	50465	67170
429	50592	67064
430	50715	66953
431	50832	66834
432	50948	66715
433	51065	66597
434	51182	66478
435	51299	66360
436	51416	66241
437	51534	66123
438	51656	66012
439	51783	65906
440	51909	65799
441	52035	65691
442	52157	65579
443	52274	65460
444	52391	65342
445	52508	65223
446	52625	65104
447	52742	64985
448	52859	64867
449	52976	64749
450	53093	64631
451	53210	64512
452	53328	64394
453	53445	64275
454	53561	64156
455	53678	64037
456	53796	63919
457	53913	63801
458	54029	63682
459	54146	63563
460	54263	63444
461	54381	63327
462	54497	63208
463	54614	63089
464	54732	62971
465	54849	62852
466	54965	62734
467	55082	62615
468	55200	62497
469	55318	62380
470	55437	62264
471	55555	62147
472	55673	62029
473	55790	61911
474	55908	61793
475	56024	61674
476	56141	61555
477	56258	61436
478	56376	61320
479	56494	61202
480	56611	61084
481	56729	60966
482	56847	60849
483	56964	60730
484	57081	60611
