iter	Passed	Remaining
0	4	4310
1	7	3801
2	10	3359
3	12	3150
4	15	3024
5	17	2947
6	20	2891
7	22	2844
8	25	2821
9	28	2784
10	30	2753
11	33	2732
12	35	2705
13	38	2683
14	40	2669
15	43	2659
16	45	2652
17	48	2649
18	51	2644
19	53	2633
20	56	2626
21	58	2618
22	61	2609
23	64	2604
24	66	2594
25	68	2584
26	71	2579
27	74	2575
28	76	2567
29	79	2567
30	82	2565
31	84	2558
32	87	2553
33	89	2546
34	92	2538
35	94	2532
36	97	2527
37	99	2523
38	102	2522
39	105	2520
40	107	2516
41	110	2511
42	112	2507
43	115	2500
44	117	2497
45	120	2508
46	123	2502
47	125	2497
48	128	2490
49	130	2483
50	133	2481
51	136	2489
52	140	2516
53	144	2522
54	148	2548
55	152	2576
56	156	2585
57	161	2614
58	165	2638
59	168	2647
60	172	2662
61	177	2678
62	180	2684
63	184	2699
64	188	2712
65	192	2720
66	196	2737
67	200	2753
68	204	2757
69	208	2766
70	212	2786
71	216	2795
72	220	2804
73	224	2807
74	228	2815
75	232	2822
76	236	2834
77	240	2846
78	244	2849
79	248	2852
80	252	2860
81	255	2861
82	259	2863
83	263	2869
84	267	2876
85	271	2882
86	274	2883
87	278	2886
88	282	2891
89	286	2895
90	290	2898
91	293	2899
92	297	2905
93	301	2907
94	305	2910
95	309	2912
96	313	2916
97	317	2920
98	321	2925
99	326	2935
100	330	2946
101	335	2952
102	339	2957
103	343	2957
104	347	2962
105	351	2962
106	355	2966
107	359	2967
108	363	2973
109	367	2974
110	371	2975
111	375	2975
112	379	2978
113	383	2979
114	387	2980
115	391	2980
116	394	2980
117	398	2981
118	402	2981
119	406	2981
120	410	2982
121	414	2986
122	418	2986
123	422	2984
124	426	2986
125	430	2982
126	433	2983
127	437	2983
128	442	2990
129	448	3000
130	451	2998
131	456	2998
132	459	2998
133	464	3001
134	468	3002
135	472	3003
136	476	3001
137	480	3001
138	484	3002
139	488	3002
140	492	3001
141	496	3002
142	500	2998
143	504	2997
144	508	2997
145	512	2998
146	516	2997
147	520	2996
148	524	2993
149	528	2992
150	532	2993
151	536	2992
152	539	2986
153	543	2986
154	547	2984
155	551	2984
156	555	2983
157	559	2981
158	563	2981
159	566	2976
160	571	2975
161	575	2975
162	579	2975
163	583	2975
164	588	2975
165	592	2976
166	595	2972
167	600	2973
168	604	2972
169	608	2971
170	612	2970
171	615	2964
172	619	2963
173	623	2960
174	627	2957
175	630	2953
