iter	RMSE
0	1.368122331
1	1.319559741
2	1.274985067
3	1.233758151
4	1.195971297
5	1.161114188
6	1.13073563
7	1.103144552
8	1.077167053
9	1.051872516
10	1.028645403
11	1.007640298
12	0.9884340339
13	0.9699515287
14	0.9547392186
15	0.9406100226
16	0.9249777296
17	0.9118031494
18	0.8997006764
19	0.8868850676
20	0.8730093355
21	0.8623383035
22	0.8521961991
23	0.8427199415
24	0.8341713579
25	0.8255112083
26	0.8169497739
27	0.809832938
28	0.8003863285
29	0.793166076
30	0.7870168488
31	0.7802723142
32	0.7727123704
33	0.7669477389
34	0.7602657074
35	0.7534742369
36	0.7476871914
37	0.743040262
38	0.7384578036
39	0.733853447
40	0.7280520175
41	0.7229900416
42	0.7196948286
43	0.7157012331
44	0.712020346
45	0.7084701427
46	0.7050067662
47	0.7011710324
48	0.6981939008
49	0.6955797564
50	0.6924541445
51	0.6893377396
52	0.6859421827
53	0.6836399583
54	0.6813691829
55	0.6789596273
56	0.6767130474
57	0.6745061886
58	0.6720585749
59	0.6703430792
60	0.6686004809
61	0.6669643499
62	0.6653069158
63	0.6634720224
64	0.6616110124
65	0.6601648785
66	0.6587163918
67	0.6572488161
68	0.6556408587
69	0.6541994495
70	0.6530885285
71	0.6518581197
72	0.6508664829
73	0.6496079533
74	0.6484000843
75	0.6473734146
76	0.6463566324
77	0.6453490145
78	0.6442664833
79	0.6434538263
80	0.6426541927
81	0.6417896382
82	0.6407240418
83	0.6396194901
84	0.6389056116
85	0.6381683641
86	0.6372493592
87	0.6364012761
88	0.6358008548
89	0.6350710849
90	0.6343404549
91	0.6336075576
92	0.6325498118
93	0.6319520518
94	0.6313849446
95	0.6308866025
96	0.6301417419
97	0.6295831515
98	0.6289300887
99	0.6282583101
100	0.627786932
101	0.6272147842
102	0.6265836724
103	0.6261482733
104	0.6255612232
105	0.6249794392
106	0.6243512035
107	0.6237491087
108	0.6233082285
109	0.6228161759
110	0.6224080335
111	0.6217833961
112	0.6212631712
113	0.6207916835
