iter	Passed	Remaining
0	157	157017
1	271	135246
2	404	134375
3	543	135270
4	646	128555
5	767	127207
6	895	127055
7	1010	125352
8	1138	125377
9	1276	126411
10	1427	128340
11	1549	127536
12	1687	128149
13	1830	128913
14	1963	128963
15	2103	129393
16	2232	129100
17	2366	129084
18	2535	130916
19	2680	131340
20	2818	131388
21	2940	130734
22	3082	130920
23	3211	130603
24	3365	131265
25	3493	130863
26	3611	130160
27	3722	129220
28	3841	128635
29	3970	128381
30	4100	128170
31	4240	128268
32	4376	128232
33	4491	127621
34	4603	126935
35	4733	126747
36	4858	126442
37	4989	126312
38	5110	125926
39	5240	125767
40	5366	125521
41	5493	125308
42	5622	125139
43	5746	124853
44	5882	124838
45	6002	124490
46	6133	124366
47	6262	124215
48	6392	124067
49	6515	123796
50	6640	123568
51	6752	123099
52	6866	122696
53	6988	122421
54	7115	122259
55	7251	122242
56	7367	121882
57	7493	121697
58	7623	121581
59	7748	121388
60	7878	121281
61	8002	121077
62	8127	120883
63	8260	120802
64	8382	120581
65	8492	120177
66	8617	119995
67	8726	119602
68	8855	119489
69	8979	119302
70	9092	118971
71	9218	118811
72	9353	118781
73	9468	118488
74	9591	118292
75	9722	118205
76	9851	118085
77	9983	118011
78	10105	117815
79	10247	117844
80	10375	117716
81	10484	117370
82	10603	117152
83	10729	117004
84	10849	116789
85	10974	116633
86	11092	116402
87	11209	116173
88	11330	115982
89	11431	115582
90	11557	115443
91	11672	115205
92	11788	114973
93	11937	115052
94	12050	114794
95	12179	114687
96	12309	114596
97	12440	114503
98	12559	114306
99	12682	114141
100	12792	113864
101	12913	113686
102	13046	113615
103	13173	113490
104	13310	113456
105	13436	113319
106	13565	113215
107	13689	113061
108	13806	112861
109	13941	112802
110	14068	112673
111	14192	112522
112	14309	112323
113	14436	112198
114	14562	112070
115	14677	111849
116	14804	111729
117	14935	111638
118	15056	111465
119	15161	111186
120	15294	111103
121	15427	111024
122	15565	110986
123	15705	110952
124	15812	110685
125	15930	110500
126	16057	110379
127	16174	110189
128	16289	109986
129	16403	109776
130	16540	109722
131	16674	109646
132	16819	109640
133	16952	109561
134	17090	109505
135	17242	109543
136	17353	109313
137	17492	109262
138	17619	109137
139	17750	109038
140	17862	108824
141	17997	108747
142	18134	108679
143	18252	108498
144	18385	108410
145	18510	108275
146	18622	108059
147	18749	107933
148	18877	107814
149	19001	107673
150	19122	107516
151	19265	107479
152	19403	107415
153	19548	107388
154	19667	107220
155	19799	107120
156	19915	106932
157	20040	106799
158	20167	106671
159	20303	106594
160	20431	106470
161	20564	106377
162	20678	106182
163	20807	106069
164	20931	105923
165	21054	105778
166	21161	105552
167	21289	105433
168	21424	105345
169	21546	105197
170	21676	105087
171	21793	104914
172	21916	104768
173	22048	104668
174	22157	104458
175	22284	104330
176	22394	104127
177	22522	104008
178	22635	103820
179	22762	103697
180	22879	103526
181	23000	103376
182	23132	103273
183	23269	103194
184	23412	103139
185	23536	103003
186	23667	102896
187	23803	102810
188	23935	102707
189	24047	102518
190	24180	102418
191	24304	102279
192	24441	102196
193	24555	102019
194	24696	101951
195	24805	101751
196	24918	101572
197	25036	101409
198	25142	101201
199	25281	101126
200	25421	101053
201	25542	100905
202	25663	100757
203	25796	100655
204	25943	100611
205	26070	100484
206	26200	100372
207	26325	100238
208	26446	100093
209	26563	99929
210	26696	99826
211	26816	99676
212	26944	99554
213	27073	99438
214	27193	99288
215	27322	99171
216	27426	98963
217	27554	98842
218	27669	98676
219	27781	98499
220	27887	98301
221	27993	98104
